Mice_no. group percent_of_act adjusted_group
1 0.3 98.826714801444 A
2 0.3 116.425992779783 A
3 0.3 132.091284167096 A
4 0.3 84.1284167096441 A
5 0.3 148.916967509025 A
6 0.3 48.5430634347602 A
7 0.3 67.1093347086127 A
8 0.3 82.7746260959257 A
9 0.3 97.0861268695204 A
10 1 95.3455389375967 A
11 1 112.944816915936 A
12 1 86.6425992779783 A
13 1 81.8076328004126 A
14 1 128.416709644146 A
15 1 81.4208354822073 A
16 1 96.8927282104177 A
17 1 49.5100567302733 A
18 1 74.8452810727179 A
19 1 114.105208870552 A
20 1 141.374419804023 A
21 1 125.322331098504 A
22 3 84.5152140278494 B
23 3 103.855079938112 B
24 3 87.9963898916967 B
25 3 79.6802475502836 B
26 3 86.2558019597731 B
27 3 51.250644662197 B
28 3 54.1516245487365 B
29 3 41.3873130479629 B
30 3 67.6895306859206 B
31 3 49.8968540484786 B
32 VEH 54.1516245487365 A
33 VEH 65.9489427539969 A
34 VEH 82.0010314595152 A
35 VEH 122.03455389376 A
36 VEH 137.313047962867 A
37 VEH 80.4538421866942 A
38 VEH 126.48272305312 A
39 VEH 88.383187209902 A
40 VEH 122.03455389376 A
41 VEH 96.1191335740072 A
42 VEH 76.0056730273337 A
43 VEH 126.095925734915 A
44 VEH 109.850438370294 A
45 VEH 119.907168643631 A
46 VEH 93.2181536874678 A
